work_id,work_label,director_id,director_label
302384,Love And Other Catastrophes,5294701,Emmakate Croghan
6479,The Hero Of The Dardanelles,1024401,Alfred Rolfe
736046,All My Friends Are Leaving Brisbane,10833101,Louise Alston
573982,Take Away,8504901,Marc Gracie
52573,The Year Of Living Dangerously,1263401,Peter Weir
21138,Children Of The Moon,1263601,Bob Weis
8892,The Clinic,1139701,David Stevens
33529,High Rolling,57901,Igor Auzins
283713,Turning April,99601,Geoff Bennett
717047,Sensitive New Age Killer,12093401,Mark Savage
1270,Jedda,218001,Charles Chauvel
33511,Tail Of A Tiger,303101,Rolf De Heer
336502,Children Of The Revolution,6528101,Peter Duncan
277684,Silver City,2551801,Sophia Turkiewicz
22618,The Hangman,1913201,Peter Falk
46700,Boulevard Of Broken Dreams,35701,Pino Amenta
1109055,Melbourne '89,2719401,Bill Mousoulis
396343,Encounters,6090101,Murray Fahey
8211,The Earthling,245401,Peter Collinson
231540,Exchange Lifeguards,857901,Maurice Murphy
44860,Winter Of Our Dreams,336901,John Duigan
44925,Duet For Four,171301,Tim Burstall
333560,Without Warning,2497301,Catherine Millar
233449,Death In Brunswick,1033201,John Ruane
481007,Richard III,7533001,Johnny Charisma
248672,Weekend With Kate,880801,Arch Nicholson
672924,Stranded,4761401,Stuart Mcdonald
33877,The Killing Of Angel Street,271201,Donald Crombie
7578,Mystery Island,4021801,Jonas Alfred Lipman
754339,Dying Breed,10354201,Jody Dwyer
268173,Stir,1244001,Stephen Wallace
654984,Hating Alison Ashley,99601,Geoff Bennett
7003,Trooper O'Brien,1616501,John F Gavin
441461,Little Boy Lost,132801,Terry Bourke
272855,Crocodile Dundee,3838201,Peter Faiman
315244,Bloodmoon,11522201,Alec Mills
1069360,Ned Kelly,5332301,Gregor Jordan
43288,Fran,502701,Glenda Hambly
141624,Strictly Ballroom,3732401,Baz Luhrmann
7595,That Certain Something,1602601,Clarence G Badger
